symbol,strategy,model_branch,signals_evaluated,signals_generated,executable_intents,blocked_intents,avg_signal_strength,avg_expected_return,avg_fee_adjusted_expected_return,realized_pnl,average_win,average_loss,expectancy,profit_factor,drawdown,closing_legs,blocked_intent_rate_pct,intent_conversion_rate_pct,winners,losers
RAVE-USD,ml_enhanced_orderbook,unknown,39,38,0,38,0.4436134367,0.3309419018,0.3127793956,0.0,,,,,0.0,0,100.000000,0.000000,0,0
RAY-USD,ml_enhanced_orderbook,unknown,39,10,0,10,0.1851440337,-0.2618113309,0.3160000402,0.0,,,,,0.0,0,100.000000,0.000000,0,0
RE-USD,ml_enhanced_orderbook,unknown,39,7,0,7,0.1152620570,0.0953354660,0.1474225670,0.0,,,,,0.0,0,100.000000,0.000000,0,0
RECALL-USD,ml_enhanced_orderbook,unknown,39,10,0,10,0.1570640805,0.1892766420,0.2654104047,0.0,,,,,0.0,0,100.000000,0.000000,0,0
RED-USD,ml_enhanced_orderbook,unknown,39,7,0,7,0.1565128409,0.2419843227,0.2227762247,0.0,,,,,0.0,0,100.000000,0.000000,0,0
RENDER-USD,ml_enhanced_orderbook,unknown,39,16,0,16,0.2607796861,-0.4367092224,0.4272488332,0.0,,,,,0.0,0,100.000000,0.000000,0,0
REQ-USD,ml_enhanced_orderbook,unknown,39,17,0,17,0.2462815917,0.3542790851,0.3310219343,0.0,,,,,0.0,0,100.000000,0.000000,0,0
REZ-USD,ml_enhanced_orderbook,unknown,39,13,0,13,0.1526266939,0.1512755849,0.2004327798,0.0,,,,,0.0,0,100.000000,0.000000,0,0
RLC-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.5866577679,-0.4442182328,0.4239064743,0.0,,,,,0.0,0,100.000000,0.000000,0,0
RLS-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.3903012562,0.4051691672,0.3307965476,0.0,,,,,0.0,0,100.000000,0.000000,0,0
RNBW-USD,ml_enhanced_orderbook,unknown,39,14,0,14,0.1381241091,0.1922491337,0.1686820645,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ROBO-USD,ml_enhanced_orderbook,unknown,39,9,0,9,0.1526896079,0.2921073453,0.2680387463,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ROSE-USD,ml_enhanced_orderbook,unknown,39,32,0,32,0.3111276702,-0.3737434061,0.3400272246,0.0,,,,,0.0,0,100.000000,0.000000,0,0
RPL-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0511009598,,,0.0,,,,,0.0,0,,,0,0
RSC-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0963563442,,,0.0,,,,,0.0,0,,,0,0
RSR-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0312025026,,,0.0,,,,,0.0,0,,,0,0
S-USD,ml_enhanced_orderbook,unknown,39,22,0,22,0.2470559818,-0.2918238017,0.2710816360,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SAFE-USD,ml_enhanced_orderbook,unknown,39,14,0,14,0.2876096306,-0.2486789064,0.3280288171,0.0,,,,,0.0,0,100.000000,0.000000,0,0
SAND-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0744191495,,,0.0,,,,,0.0,0,,,0,0
